model,elo,elo_moe_95,cfs,balanced_games,completion_tokens_per_move,cents_per_move,per_anchor_score
openai-gpt-5.5-xhigh,1888.7,157.3,62.6,20,17915,26.87,1800:0.625(B10/W10)
openai-gpt-5.5-medium (simple-explain),1852.5,154.0,50.0,20,7743,11.61,1800:0.575(B10/W10)
openai-gpt-5.5-medium (simple-explain-sforder),1852.5,154.0,73.6,20,8201,12.30,1800:0.575(B10/W10)
openai-gpt-5.5-medium (simple-sans),1782.6,152.5,56.3,20,6510,9.77,1800:0.475(B10/W10)
openai-gpt-5.5-medium (simple),1765.1,153.0,,20,5841,8.76,1800:0.450(B10/W10)
