model,elo,elo_moe_95,cfs,balanced_games,completion_tokens_per_move,per_anchor_score
google-gemma-4-31B-it,362.5,38.6,86.5%,480,4309,600:0.20(B240/W240)
Qwen-Qwen3.6-27B,298.7,106.6,,80,18595,600:0.15(B40/W40)
